Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Glycerolipid metabolism,4/61,0.0073225635037709,0.0090593253604345,0,0,5.571873231465761,27.395757369083125,DGKG;DGKA;DGKQ;DGKZ
KEGG_2021_Human,Glycerolipid metabolism,4/61,0.0073225635037709,0.0090593253604345,0,0,5.571873231465761,27.395757369083125,DGKG;DGKA;DGKQ;DGKZ
KEGG_2021_Human,Glycerophospholipid metabolism,5/98,0.0080179684637236,0.0098564835254691,0,0,4.278220364807801,20.646991802880688,DGKG;DGKA;DGKQ;CDIPT;DGKZ
GO_Biological_Process_2021,Glycerophospholipid metabolism,5/98,0.0080179684637236,0.0098564835254691,0,0,4.278220364807801,20.646991802880688,DGKG;DGKA;DGKQ;CDIPT;DGKZ
GO_Biological_Process_2021,Phagosome,6/152,0.0127225213914798,0.0155408014465544,0,0,3.274640828600067,14.291781910800534,ITGB1;PIKFYVE;HGS;ITGA2;PIK3C3;RAC1
KEGG_2021_Human,Phagosome,6/152,0.0127225213914798,0.0155408014465544,0,0,3.274640828600067,14.291781910800534,ITGB1;PIKFYVE;HGS;ITGA2;PIK3C3;RAC1
KEGG_2021_Human,Huntington disease,9/306,0.0159107528802356,0.0193130522382735,0,0,2.425614166354907,10.043886398194642,PLCB3;PLCB4;GNAQ;CLTC;ITPR1;AP2A1;PIK3C3;PLCB1;PLCB2
GO_Biological_Process_2021,Huntington disease,9/306,0.0159107528802356,0.0193130522382735,0,0,2.425614166354907,10.043886398194642,PLCB3;PLCB4;GNAQ;CLTC;ITPR1;AP2A1;PIK3C3;PLCB1;PLCB2
GO_Biological_Process_2021,Cocaine addiction,3/49,0.023796207640301,0.0287041754661131,0,0,5.160293347302252,19.290358517251548,GNAI3;GNAI1;GNAI2
KEGG_2021_Human,Cocaine addiction,3/49,0.023796207640301,0.0287041754661131,0,0,5.160293347302252,19.290358517251548,GNAI3;GNAI1;GNAI2
KEGG_2021_Human,Vibrio cholerae infection,3/50,0.0250854565641033,0.0300713858190803,0,0,5.050243527300692,18.612505965510472,PLCG2;PRKCA;PLCG1
GO_Biological_Process_2021,Vibrio cholerae infection,3/50,0.0250854565641033,0.0300713858190803,0,0,5.050243527300692,18.612505965510472,PLCG2;PRKCA;PLCG1
GO_Biological_Process_2021,Th1 and Th2 cell differentiation,4/92,0.0290485709003568,0.0346072480479559,0,0,3.603372434017595,12.751563891205697,ZAP70;LCK;PLCG1;LAT
KEGG_2021_Human,Th1 and Th2 cell differentiation,4/92,0.0290485709003568,0.0346072480479559,0,0,3.603372434017595,12.751563891205697,ZAP70;LCK;PLCG1;LAT
KEGG_2021_Human,Th17 cell differentiation,4/107,0.0464779519554681,0.0550321762417506,0,0,3.0762605699968684,9.440358391766845,ZAP70;LCK;PLCG1;LAT
GO_Biological_Process_2021,Th17 cell differentiation,4/107,0.0464779519554681,0.0550321762417506,0,0,3.0762605699968684,9.440358391766845,ZAP70;LCK;PLCG1;LAT
